Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
supine,0.02,-0.02,1.0,-0.12,0.12,0.12,49.0,-9.0,19.0
side,-0.01,-1.0,0.15,-0.85,0.31,-0.06,-28.0,1.0,14.0
sitting,0.99,0.11,0.08,-0.43,0.37,-0.37,15.0,-44.0,-4.0
prone,-0.05,0.09,-1.0,0.06,0.18,-0.18,-5.0,-22.0,-59.0
side,0.0,0.96,0.01,5.62,-0.24,1.22,62.0,0.0,-68.0
sitting,1.0,0.04,0.06,0.24,0.06,-0.18,15.0,-44.0,-8.0
side,0.02,-0.99,-0.2,1.04,0.06,-0.12,-32.0,-6.0,-77.0
side,0.02,-1.01,0.06,0.24,0.18,-0.06,-44.0,-7.0,-68.0
side,-0.02,-1.0,0.11,0.85,0.0,-0.24,-30.0,-2.0,12.0
unknown,-0.54,0.45,0.68,-0.85,-1.59,-0.98,67.0,28.0,-10.0
side,-0.02,0.98,0.08,-0.24,0.12,-0.12,60.0,-12.0,15.0
side,0.0,-0.0,3.16,22.4,-3.85,-1.65,807.0,-101.0,-91.0
supine,0.01,-0.01,1.0,0.0,0.18,-0.18,33.0,-37.0,0.0
sitting,0.99,0.08,0.09,-1.04,-0.55,-0.31,15.0,-44.0,-4.0
sitting,-0.98,-0.12,0.05,-1.1,0.0,0.55,-6.0,51.0,-26.0
prone,-0.05,0.09,-0.99,0.0,0.06,-0.18,-4.0,-22.0,-63.0
sitting,-0.99,-0.11,0.02,0.31,0.55,-0.73,-5.0,52.0,-20.0
sitting,0.99,0.06,0.09,-0.31,-0.79,0.06,14.0,-43.0,-7.0
side,-0.02,0.97,0.09,-0.24,0.12,-0.12,58.0,-12.0,14.0
side,-0.02,0.98,0.05,2.56,0.12,-0.12,62.0,-12.0,13.0
prone,-0.05,0.09,-0.99,0.06,0.06,-0.12,-6.0,-21.0,-60.0
prone,-0.05,0.09,-0.99,0.0,0.18,-0.12,-5.0,-25.0,-60.0
sitting,-0.97,-0.17,0.08,-0.79,2.26,-0.73,-8.0,49.0,-21.0
unknown,-0.63,0.56,0.49,0.92,0.55,-0.79,37.0,4.0,19.0
sitting,0.99,0.04,0.11,-0.24,-1.16,-0.67,12.0,-43.0,-6.0
sitting,1.0,0.05,0.05,0.06,0.12,-0.12,14.0,-42.0,-14.0
sitting,-0.98,-0.13,0.06,0.37,-0.18,-0.24,-8.0,53.0,-24.0
side,0.01,0.96,-0.0,0.49,-0.12,-0.12,64.0,-2.0,-68.0
unknown,0.68,-0.53,0.52,0.12,0.0,-0.61,9.0,-30.0,5.0
side,-0.03,-1.01,0.03,6.96,-0.98,-1.59,-30.0,0.0,5.0
side,0.01,-1.01,0.05,0.67,0.37,-0.18,-43.0,-9.0,-66.0
sitting,-0.98,-0.02,-0.01,0.55,-1.22,0.31,-6.0,53.0,-27.0
sitting,0.96,0.21,0.15,0.06,0.06,0.06,21.0,-39.0,-9.0
side,-0.01,-1.0,0.13,0.79,0.24,-0.12,-29.0,0.0,17.0
sitting,0.99,0.06,0.09,0.79,-0.79,-1.28,16.0,-41.0,-7.0
unknown,-0.68,0.25,0.66,-1.65,-0.61,2.81,14.0,7.0,23.0
unknown,-0.63,0.47,0.57,1.95,-3.11,4.39,24.0,9.0,11.0
unknown,-0.51,0.46,0.69,0.31,1.22,-1.65,68.0,26.0,-10.0
side,-0.02,0.97,0.07,0.43,0.12,-0.12,60.0,-15.0,20.0
supine,0.01,-0.01,1.0,0.0,0.18,-0.18,35.0,-34.0,3.0
side,-0.01,-0.98,0.26,-0.85,0.06,0.06,-26.0,5.0,24.0
prone,-0.05,0.09,-0.99,0.06,0.12,-0.18,-4.0,-23.0,-61.0
side,-0.01,-1.0,0.15,0.31,0.55,-0.06,-29.0,0.0,18.0
unknown,-0.54,0.44,0.69,0.12,-2.26,-3.05,68.0,32.0,-5.0
side,0.02,-1.0,-0.17,0.55,0.12,-0.12,-34.0,-5.0,-74.0
sitting,-1.0,-0.04,0.01,2.32,1.89,-1.28,-5.0,52.0,-23.0
sitting,-0.98,-0.16,0.06,0.37,-0.43,0.0,-8.0,51.0,-23.0
unknown,0.68,-0.51,0.54,-0.61,0.92,2.01,9.0,-30.0,7.0
unknown,-0.57,0.4,0.69,1.16,-0.06,-0.06,16.0,5.0,29.0
side,0.01,-1.01,0.12,-6.9,-2.01,0.12,-45.0,-8.0,-59.0
prone,-0.05,0.09,-0.99,0.0,0.18,-0.18,-4.0,-23.0,-61.0
side,-0.02,0.97,0.07,0.0,0.12,-0.12,60.0,-15.0,16.0
unknown,-0.33,0.42,0.83,0.43,0.61,0.31,73.0,25.0,3.0
sitting,-0.98,-0.1,0.07,0.43,-0.61,-0.37,-6.0,52.0,-30.0
prone,-0.05,0.09,-0.99,0.0,0.06,-0.06,-5.0,-23.0,-59.0
unknown,0.81,0.36,0.45,3.11,-4.33,-3.48,2.0,-29.0,0.0
side,0.02,-1.0,-0.16,0.24,0.12,-0.12,-35.0,-6.0,-81.0
side,-0.02,-1.01,0.06,-2.81,-1.4,0.73,-31.0,0.0,9.0
side,0.02,-0.99,-0.2,-1.4,0.12,-0.12,-35.0,-6.0,-81.0
side,0.02,-1.01,-0.06,1.22,0.18,-0.06,-39.0,-7.0,-73.0
side,0.02,-0.99,-0.19,-1.22,0.18,-0.12,-33.0,-5.0,-81.0
supine,0.01,-0.04,1.01,-0.49,-0.18,11.17,46.0,-11.0,18.0
