Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.00,0.97,0.00,-2.87,-0.31,-1.04,60.00,-4.00,-63.00
side,0.00,0.97,-0.00,-1.65,0.61,-0.55,59.00,-6.00,-70.00
side,0.01,0.96,0.00,0.61,-0.79,-0.31,61.00,-5.00,-65.00
side,0.00,0.97,0.00,-1.28,0.24,-0.43,61.00,-6.00,-66.00
side,0.01,0.96,0.01,-0.67,0.06,-0.37,60.00,-7.00,-67.00
side,0.01,0.96,-0.01,-7.39,2.93,-1.46,59.00,-4.00,-68.00
side,0.00,0.97,-0.00,5.49,-2.99,1.40,61.00,-6.00,-67.00
side,-0.00,0.96,0.02,-3.54,1.89,-0.61,62.00,-5.00,-62.00
side,-0.00,0.96,0.01,-2.14,0.49,-0.37,61.00,-8.00,-67.00
side,0.00,0.96,-0.00,-3.05,0.00,-0.67,61.00,-3.00,-67.00
side,-0.00,0.96,-0.00,-1.77,2.81,-0.18,61.00,-4.00,-69.00
side,0.01,0.96,-0.01,-0.18,14.53,-0.06,61.00,-4.00,-65.00
side,-0.02,0.96,0.02,-7.32,13.61,-2.62,61.00,-2.00,-74.00
side,-0.01,0.96,-0.08,4.33,24.84,0.18,63.00,2.00,-79.00
side,0.01,0.96,-0.07,0.79,-25.33,2.69,63.00,3.00,-74.00
side,-0.01,0.97,-0.03,3.30,-50.96,1.46,62.00,-1.00,-68.00
side,-0.02,0.96,0.05,0.00,-11.90,-2.32,60.00,-8.00,-65.00
side,-0.05,0.98,0.06,10.56,55.60,2.14,61.00,-4.00,-69.00
side,-0.02,0.99,0.07,1.04,3.91,-8.06,62.00,-1.00,-66.00
side,0.15,0.83,-0.07,12.63,-15.93,-2.50,64.00,-6.00,-67.00
side,0.06,1.10,0.03,6.23,1.71,37.90,62.00,-4.00,-65.00
side,-0.01,0.97,0.02,-1.95,5.00,-3.97,63.00,-3.00,-66.00
side,0.01,0.96,-0.00,12.21,-17.58,5.68,62.00,-2.00,-65.00
side,-0.03,0.97,0.07,-15.99,3.60,-5.62,60.00,-4.00,-69.00
side,-0.02,0.96,0.04,-10.38,52.67,-5.92,60.00,-4.00,-69.00
side,0.01,0.96,-0.05,6.35,-3.36,1.65,64.00,-1.00,-70.00
side,-0.01,0.95,-0.02,-6.77,-32.59,-1.83,61.00,-2.00,-70.00
side,0.03,0.96,0.04,-2.81,4.21,-1.16,60.00,-6.00,-65.00
side,-0.02,0.97,0.00,1.89,28.32,-0.73,61.00,-4.00,-71.00
side,-0.03,0.96,0.06,8.06,18.62,-2.32,64.00,2.00,-73.00
side,0.01,0.99,-0.02,-0.24,-22.03,-7.39,67.00,4.00,-72.00
side,0.02,0.93,-0.01,4.15,-49.68,21.12,63.00,-5.00,-71.00
side,0.00,0.95,0.01,-3.72,3.66,-2.56,61.00,-5.00,-68.00
side,0.02,0.97,-0.07,-1.95,25.09,-2.20,60.00,-3.00,-70.00
side,0.01,0.95,-0.15,-72.51,0.18,-4.82,57.00,-1.00,-78.00
side,0.01,0.95,-0.25,37.72,-2.75,9.95,51.00,0.00,-83.00
side,-0.06,0.94,-0.12,12.39,-27.40,4.88,54.00,-1.00,-80.00
side,-0.05,0.88,-0.03,54.57,-24.11,9.40,55.00,-4.00,-71.00
side,-0.02,0.93,0.08,46.14,17.76,3.42,65.00,-3.00,-60.00
side,-0.04,0.92,0.23,34.55,-11.17,12.45,68.00,0.00,-55.00
