Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
prone,0.02,-0.10,-1.00,2.56,1.53,1.71,-10.00,-29.00,-48.00
prone,0.02,-0.05,-1.02,11.96,-0.31,-4.09,-10.00,-29.00,-47.00
prone,0.03,0.10,-0.99,11.17,-16.54,-6.29,0.00,-26.00,-57.00
prone,0.04,0.06,-1.09,-12.70,4.27,0.67,-1.00,-28.00,-53.00
prone,0.02,0.07,-1.03,-3.54,20.94,1.53,-1.00,-31.00,-53.00
prone,0.01,0.08,-1.03,-5.68,5.31,-6.29,1.00,-28.00,-53.00
prone,0.03,0.11,-1.03,-0.18,7.57,5.86,1.00,-30.00,-58.00
prone,0.02,0.06,-1.00,-9.40,2.93,-4.27,0.00,-28.00,-53.00
prone,0.02,0.04,-1.00,-8.18,1.10,-2.62,0.00,-30.00,-52.00
prone,0.03,-0.06,-0.98,-16.36,0.98,1.34,-4.00,-28.00,-53.00
prone,0.02,-0.22,-0.97,-16.54,-7.02,0.06,-6.00,-26.00,-48.00
prone,-0.03,-0.10,-1.10,-19.47,-13.49,0.24,-12.00,-25.00,-49.00
prone,-0.03,-0.05,-1.00,20.81,11.05,-3.17,-13.00,-24.00,-53.00
prone,-0.05,-0.01,-1.00,-5.98,-1.83,10.50,-9.00,-24.00,-58.00
prone,-0.05,-0.05,-1.00,-5.13,0.06,3.60,-11.00,-24.00,-55.00
prone,-0.05,-0.04,-1.00,2.99,-0.24,0.31,-13.00,-24.00,-55.00
prone,-0.05,-0.03,-1.00,1.71,-1.28,0.55,-12.00,-24.00,-54.00
prone,-0.05,0.01,-1.00,51.21,1.59,-1.40,-13.00,-26.00,-51.00
prone,-0.05,0.11,-0.99,-9.52,-0.92,0.00,-10.00,-24.00,-52.00
prone,-0.05,0.06,-1.00,-3.30,4.21,-24.96,-5.00,-24.00,-57.00
prone,-0.05,0.15,-0.98,-11.54,1.34,-6.96,-5.00,-25.00,-62.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.18,-6.00,-24.00,-64.00
prone,-0.05,0.09,-1.00,0.06,0.12,-0.18,-3.00,-23.00,-62.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.24,-5.00,-21.00,-59.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.18,-7.00,-25.00,-58.00
prone,-0.05,0.09,-0.99,-0.06,0.18,-0.18,-5.00,-21.00,-57.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.12,-4.00,-23.00,-59.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.24,-4.00,-23.00,-60.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.18,-4.00,-21.00,-64.00
prone,-0.05,0.09,-1.00,-0.06,0.18,-0.18,-4.00,-21.00,-61.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.18,-7.00,-23.00,-61.00
prone,-0.05,0.09,-1.00,0.00,0.12,-0.12,-4.00,-21.00,-56.00
prone,-0.05,0.09,-1.00,0.06,0.12,-0.18,-5.00,-26.00,-61.00
prone,-0.05,0.09,-1.00,0.00,0.18,-0.12,-5.00,-24.00,-59.00
prone,-0.05,0.09,-1.00,0.06,0.18,-0.18,-5.00,-24.00,-64.00
prone,-0.05,0.09,-0.99,0.00,0.18,-0.18,-5.00,-24.00,-66.00
prone,-0.05,0.09,-1.00,0.06,0.18,-0.18,-6.00,-24.00,-63.00
prone,-0.05,0.09,-1.00,0.06,0.24,-0.12,-4.00,-23.00,-60.00
prone,-0.05,0.09,-1.00,0.00,0.24,-0.12,-7.00,-27.00,-58.00
prone,-0.05,0.09,-1.00,0.06,0.18,-0.18,-5.00,-22.00,-59.00
prone,-0.05,0.09,-1.00,-0.06,0.18,-0.24,-6.00,-23.00,-61.00
prone,-0.05,0.09,-1.00,0.00,0.12,-0.12,-5.00,-24.00,-57.00
