Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.01,-1.00,0.03,13.98,-0.73,-0.12,-45.00,-9.00,-64.00
side,-0.01,-1.00,0.00,11.41,-0.49,0.12,-41.00,-10.00,-67.00
side,-0.01,-1.00,0.03,-1.77,-1.34,0.00,-43.00,-9.00,-67.00
side,-0.00,-1.01,-0.01,2.26,0.49,1.22,-41.00,-8.00,-67.00
side,-0.00,-1.00,-0.01,-5.19,-1.83,-0.24,-40.00,-9.00,-70.00
side,-0.01,-1.00,0.01,-0.49,2.14,-0.49,-41.00,-12.00,-68.00
side,0.00,-1.02,-0.07,7.32,-7.26,-4.76,-42.00,-10.00,-62.00
side,-0.02,-0.99,-0.06,11.23,11.90,-1.65,-37.00,-9.00,-63.00
side,-0.03,-1.00,-0.08,0.37,-2.20,-1.22,-37.00,-9.00,-72.00
side,-0.06,-0.99,-0.13,-0.31,7.87,-1.04,-35.00,-9.00,-75.00
side,-0.06,-0.98,-0.20,11.47,-2.81,0.85,-34.00,-7.00,-72.00
side,-0.03,-1.00,-0.14,-39.79,-3.30,2.01,-35.00,-7.00,-77.00
side,-0.03,-0.99,0.14,-54.14,-3.11,1.40,-46.00,-12.00,-64.00
side,-0.02,-1.00,0.24,-24.11,0.43,-4.94,-48.00,-11.00,-50.00
side,-0.04,-1.00,0.06,156.37,4.09,6.77,-43.00,-9.00,-64.00
side,-0.03,-1.00,-0.11,-23.50,-0.43,2.87,-37.00,-9.00,-71.00
side,-0.02,-1.00,-0.11,30.88,3.60,0.98,-36.00,-10.00,-72.00
side,-0.01,-1.01,0.06,-73.61,-0.67,8.12,-41.00,-9.00,-65.00
side,-0.00,-0.99,0.18,-2.99,-1.89,0.24,-48.00,-9.00,-56.00
side,-0.02,-1.01,-0.01,47.61,5.13,-3.11,-41.00,-8.00,-62.00
side,-0.00,-1.01,0.06,-74.65,-1.40,5.86,-41.00,-10.00,-67.00
side,0.00,-0.98,0.09,120.61,-0.85,-8.24,-43.00,-10.00,-59.00
side,-0.01,-1.01,-0.01,-68.18,2.62,6.65,-41.00,-9.00,-64.00
side,0.01,-0.98,0.20,12.02,-6.77,-0.92,-48.00,-11.00,-56.00
side,-0.02,-1.01,-0.07,-7.02,0.31,0.67,-38.00,-10.00,-66.00
side,0.01,-1.00,0.16,1.83,-2.08,0.24,-45.00,-10.00,-56.00
side,-0.01,-1.01,0.01,18.80,-0.31,-0.67,-41.00,-11.00,-68.00
side,0.01,-1.00,0.10,-112.73,4.46,8.00,-42.00,-9.00,-61.00
side,0.01,-1.00,0.14,31.07,1.59,-2.87,-45.00,-11.00,-58.00
side,-0.02,-1.01,-0.04,-20.63,1.83,1.53,-36.00,-9.00,-71.00
side,0.01,-1.00,0.17,-4.76,-1.65,-0.12,-46.00,-8.00,-63.00
side,-0.01,-1.02,-0.01,71.29,3.48,-5.00,-40.00,-8.00,-65.00
side,-0.01,-1.01,-0.07,11.23,0.24,0.85,-37.00,-10.00,-69.00
side,-0.00,-1.01,-0.08,-31.56,-4.15,1.77,-38.00,-9.00,-69.00
side,0.01,-1.01,0.03,-28.69,-2.69,1.89,-43.00,-11.00,-68.00
side,0.01,-1.01,0.05,0.67,0.37,-0.18,-43.00,-9.00,-66.00
side,0.01,-1.01,0.04,20.26,1.95,-1.95,-43.00,-9.00,-66.00
side,0.01,-1.01,0.02,-9.09,-0.49,-0.61,-40.00,-10.00,-63.00
side,0.01,-1.01,-0.02,13.18,1.46,-0.18,-40.00,-8.00,-66.00
side,0.00,-1.01,-0.05,6.59,-0.67,-0.37,-37.00,-8.00,-71.00
side,0.00,-1.01,-0.07,-1.22,0.06,0.06,-38.00,-9.00,-71.00
side,0.00,-1.01,-0.05,-6.23,-0.18,-0.18,-38.00,-10.00,-74.00
side,0.00,-1.01,-0.05,4.52,0.55,-0.12,-40.00,-10.00,-70.00
side,0.00,-1.01,-0.05,2.81,0.61,0.06,-39.00,-12.00,-69.00
side,0.00,-1.01,-0.06,5.68,1.16,-0.43,-39.00,-12.00,-72.00
side,-0.00,-1.01,-0.01,-13.92,4.82,1.22,-39.00,-9.00,-68.00
side,0.01,-1.01,-0.02,0.24,-0.24,0.79,-39.00,-7.00,-66.00
side,0.02,-1.02,-0.04,-2.01,4.33,3.42,-39.00,-10.00,-70.00
side,0.01,-1.02,-0.03,-4.15,8.42,0.24,-40.00,-8.00,-72.00
side,0.02,-1.01,-0.03,8.36,-0.85,0.31,-41.00,-9.00,-68.00
side,0.02,-1.01,-0.03,-12.51,-1.22,-0.18,-42.00,-6.00,-75.00
side,0.02,-1.01,-0.02,-1.28,0.61,0.06,-41.00,-9.00,-72.00
side,0.02,-1.01,0.00,1.16,0.12,-0.06,-41.00,-8.00,-66.00
side,0.02,-1.01,0.02,-2.32,-0.12,-0.12,-43.00,-9.00,-66.00
side,0.02,-1.02,0.02,0.24,0.12,-0.06,-42.00,-9.00,-66.00
side,0.02,-1.01,0.02,0.18,0.12,-0.18,-43.00,-8.00,-65.00
side,0.02,-1.01,0.01,-3.05,0.12,-0.12,-41.00,-9.00,-66.00
side,0.02,-1.01,0.02,0.06,0.92,-0.12,-41.00,-8.00,-66.00
side,0.02,-1.01,0.02,-1.71,0.24,-0.31,-40.00,-10.00,-68.00
side,0.02,-1.01,0.02,1.10,0.00,-0.06,-43.00,-10.00,-66.00
side,0.02,-1.01,0.02,0.92,0.12,0.00,-41.00,-8.00,-69.00
side,0.02,-1.01,0.02,5.00,1.89,0.37,-43.00,-9.00,-65.00
side,0.02,-1.01,0.03,-1.83,-1.22,-0.12,-41.00,-9.00,-66.00
side,0.02,-1.01,0.02,-0.12,0.18,-0.18,-43.00,-8.00,-68.00
side,0.02,-1.01,0.02,-0.24,0.00,-0.12,-41.00,-9.00,-69.00
side,0.02,-1.01,0.02,0.43,0.12,-0.06,-43.00,-8.00,-68.00
side,0.02,-1.01,0.02,0.31,0.18,-0.12,-40.00,-10.00,-68.00
side,0.02,-1.01,0.02,-0.67,0.24,-0.12,-43.00,-6.00,-63.00
side,0.02,-1.01,0.02,3.78,0.37,0.43,-42.00,-8.00,-65.00
side,0.02,-1.01,0.02,2.56,0.18,0.18,-40.00,-7.00,-70.00
side,0.02,-1.01,0.02,-0.67,0.61,-0.12,-41.00,-9.00,-69.00
side,0.02,-1.01,0.02,-0.37,0.12,-0.12,-41.00,-8.00,-67.00
side,0.02,-1.01,0.02,-0.06,0.12,-0.12,-42.00,-7.00,-67.00
side,0.02,-1.01,0.02,0.37,0.18,-0.06,-41.00,-10.00,-70.00
side,0.02,-1.01,0.01,0.24,1.53,0.00,-41.00,-9.00,-67.00
side,0.02,-1.01,0.02,-0.06,0.12,-0.06,-41.00,-11.00,-70.00
side,0.02,-1.01,0.02,0.37,0.18,-0.12,-42.00,-6.00,-67.00
side,0.02,-1.01,0.02,-0.24,0.18,-0.24,-42.00,-6.00,-68.00
side,0.02,-1.01,0.02,-0.06,0.37,-0.06,-42.00,-9.00,-70.00
side,0.02,-1.01,0.02,-0.37,0.18,-0.18,-41.00,-8.00,-69.00
side,0.02,-1.01,0.02,-0.67,0.18,-0.12,-43.00,-12.00,-69.00
side,0.02,-1.01,0.03,0.00,0.18,-0.12,-43.00,-8.00,-70.00
side,0.02,-1.01,0.02,0.18,0.12,-0.12,-42.00,-8.00,-66.00
side,0.02,-1.01,0.02,-0.61,0.00,-0.06,-44.00,-9.00,-68.00
side,0.02,-1.01,0.02,0.98,0.12,-0.12,-41.00,-8.00,-69.00
side,0.02,-1.01,0.02,0.31,0.12,-0.12,-42.00,-8.00,-67.00
side,0.02,-1.01,0.02,0.31,0.18,-0.06,-42.00,-9.00,-68.00
side,0.02,-1.01,0.02,0.06,0.18,-0.18,-42.00,-9.00,-71.00
side,0.02,-1.01,0.02,0.18,0.24,-0.12,-41.00,-6.00,-68.00
side,0.02,-1.01,0.02,-0.31,0.18,-0.12,-42.00,-8.00,-66.00
side,0.02,-1.01,0.02,0.12,0.06,-0.18,-43.00,-8.00,-64.00
side,0.02,-1.01,0.03,-2.44,4.39,-0.37,-45.00,-11.00,-67.00
side,0.02,-1.01,0.03,-1.89,-0.92,-0.06,-43.00,-8.00,-71.00
side,0.02,-1.01,0.07,-3.54,0.24,0.43,-45.00,-9.00,-64.00
side,0.02,-1.01,0.07,-3.11,0.00,-0.06,-44.00,-7.00,-66.00
side,0.02,-1.02,0.05,8.12,0.12,-0.06,-43.00,-6.00,-67.00
side,0.02,-1.01,0.08,-6.65,-0.55,-0.12,-44.00,-8.00,-64.00
side,0.01,-1.01,0.12,-6.90,-2.01,0.12,-45.00,-8.00,-59.00
side,0.02,-1.01,0.12,6.84,0.24,0.00,-47.00,-6.00,-58.00
side,0.02,-1.01,0.09,5.62,0.24,-0.12,-44.00,-8.00,-65.00
side,0.02,-1.01,0.09,4.82,1.83,-0.31,-44.00,-7.00,-68.00
side,0.02,-1.01,0.07,-0.85,0.12,-0.12,-42.00,-8.00,-65.00
side,0.00,-1.01,0.05,-1.04,-0.55,-0.12,-42.00,-4.00,-69.00
side,0.02,-1.01,0.01,2.08,8.85,-0.12,-43.00,-8.00,-69.00
side,0.02,-1.01,-0.00,2.87,-0.85,-0.12,-41.00,-9.00,-67.00
side,0.02,-1.01,0.02,-4.39,0.18,-0.18,-42.00,-8.00,-68.00
side,0.02,-1.01,0.02,-2.01,0.12,-0.06,-42.00,-7.00,-67.00
side,0.02,-1.01,0.02,-0.06,0.18,-0.12,-42.00,-6.00,-66.00
side,0.01,-1.01,0.02,-0.12,-0.73,-0.12,-39.00,-9.00,-68.00
side,0.02,-1.01,0.02,0.06,0.12,-0.06,-41.00,-5.00,-68.00
side,0.02,-1.01,0.02,0.43,0.12,-0.06,-42.00,-8.00,-64.00
side,0.02,-1.01,0.02,-0.67,0.24,-0.18,-43.00,-8.00,-66.00
side,0.01,-1.01,0.04,-3.85,-1.95,0.00,-42.00,-9.00,-67.00
side,0.02,-1.01,0.04,-0.12,0.12,-0.18,-42.00,-11.00,-63.00
side,0.02,-1.01,0.05,-1.34,-0.79,-0.06,-42.00,-6.00,-67.00
side,0.02,-1.01,0.05,0.12,-0.43,-0.06,-42.00,-9.00,-67.00
side,0.02,-1.01,0.06,-0.61,0.18,-0.12,-42.00,-7.00,-69.00
side,0.02,-1.01,0.06,-4.21,-0.55,-0.06,-45.00,-6.00,-65.00
side,0.02,-1.01,0.08,-5.86,0.00,-1.16,-44.00,-10.00,-62.00
side,0.01,-1.01,0.10,-1.04,0.18,-0.31,-44.00,-9.00,-65.00
side,0.01,-1.01,0.07,3.97,0.24,-0.06,-46.00,-6.00,-64.00
side,0.01,-1.01,0.08,0.67,-0.06,-0.06,-42.00,-10.00,-68.00
side,0.02,-1.01,0.06,0.61,0.55,-0.06,-44.00,-10.00,-65.00
side,0.02,-1.01,0.06,1.04,0.18,-0.12,-43.00,-8.00,-66.00
side,0.02,-1.01,0.06,-0.85,0.31,-0.06,-44.00,-9.00,-65.00
side,0.02,-1.01,0.07,0.79,0.24,-0.12,-44.00,-8.00,-65.00
side,0.02,-1.01,0.06,-0.49,0.12,-0.06,-45.00,-7.00,-64.00
side,0.02,-1.01,0.06,-0.67,0.55,-0.12,-43.00,-9.00,-64.00
side,0.02,-1.01,0.06,-0.79,-0.12,-0.06,-43.00,-8.00,-62.00
side,0.02,-1.01,0.07,0.92,0.18,-0.06,-43.00,-8.00,-64.00
side,0.02,-1.01,0.06,1.28,0.12,-0.12,-44.00,-9.00,-62.00
side,0.02,-1.01,0.06,-0.79,0.24,-0.12,-42.00,-9.00,-67.00
side,0.02,-1.01,0.06,0.00,0.12,-0.06,-43.00,-8.00,-66.00
side,0.02,-1.01,0.06,0.79,0.18,-0.12,-44.00,-6.00,-60.00
side,0.02,-1.01,0.06,-0.31,0.06,-0.06,-44.00,-8.00,-69.00
side,0.02,-1.01,0.06,-0.85,0.12,-0.12,-43.00,-10.00,-64.00
side,0.02,-1.01,0.06,-0.98,0.18,-0.06,-41.00,-8.00,-69.00
side,0.02,-1.01,0.06,0.92,0.18,-0.06,-44.00,-10.00,-63.00
side,0.02,-1.01,0.06,-0.24,0.12,-0.06,-43.00,-8.00,-62.00
side,0.02,-1.01,0.06,0.24,0.18,-0.12,-42.00,-6.00,-63.00
side,0.02,-1.01,0.06,1.10,0.24,-0.06,-45.00,-8.00,-64.00
side,0.02,-1.01,0.06,0.55,0.12,-0.12,-43.00,-8.00,-61.00
side,0.02,-1.01,0.06,0.55,0.12,-0.06,-44.00,-7.00,-65.00
side,0.02,-1.01,0.06,-0.67,-0.18,-0.06,-41.00,-6.00,-63.00
side,0.02,-1.01,0.06,0.98,0.24,-0.18,-46.00,-8.00,-65.00
side,0.02,-1.01,0.06,0.73,0.18,-0.06,-45.00,-8.00,-67.00
side,0.02,-1.01,0.04,4.46,0.92,-0.12,-42.00,-7.00,-66.00
side,0.01,-1.01,0.04,3.97,1.10,-0.12,-43.00,-8.00,-61.00
side,0.02,-1.01,0.04,-3.17,0.12,-0.12,-44.00,-8.00,-66.00
side,0.02,-1.01,0.05,-2.87,0.06,-0.06,-44.00,-7.00,-65.00
side,0.02,-1.01,0.06,-0.37,0.18,-0.06,-42.00,-8.00,-68.00
side,0.02,-1.01,0.06,-0.18,0.18,-0.12,-45.00,-6.00,-66.00
side,0.02,-1.01,0.06,-1.16,0.12,-0.12,-45.00,-8.00,-68.00
side,0.02,-1.01,0.06,-0.49,0.18,-0.12,-43.00,-7.00,-64.00
side,0.02,-1.01,0.06,-0.79,0.12,-0.12,-44.00,-10.00,-68.00
side,0.02,-1.01,0.06,0.24,0.18,-0.06,-44.00,-7.00,-68.00
side,0.02,-1.01,0.06,-0.37,0.12,-0.12,-44.00,-8.00,-63.00
side,0.02,-1.01,0.06,0.06,0.18,-0.06,-42.00,-9.00,-62.00
side,0.02,-1.01,0.06,0.24,0.12,-0.12,-44.00,-8.00,-67.00
side,0.02,-1.01,0.06,0.49,-0.12,-0.12,-45.00,-8.00,-63.00
side,0.02,-1.01,0.06,0.73,0.12,-0.12,-43.00,-8.00,-60.00
side,0.02,-1.01,0.06,0.85,0.18,-0.12,-42.00,-8.00,-63.00
side,0.02,-1.01,0.05,0.79,0.12,-0.06,-44.00,-9.00,-72.00
side,0.02,-1.01,0.05,1.65,0.24,-0.06,-43.00,-9.00,-68.00
side,0.02,-1.01,0.05,-0.24,0.18,-0.06,-44.00,-9.00,-69.00
side,0.02,-1.01,0.05,-0.49,0.18,-0.12,-41.00,-9.00,-63.00
