Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,0.05,-1.01,0.04,-4.52,-3.42,2.32,-32.00,-9.00,9.00
side,0.06,-1.01,0.06,1.89,0.12,-0.37,-30.00,-7.00,8.00
side,0.06,-1.01,0.05,0.00,-0.06,0.61,-32.00,-12.00,9.00
side,0.06,-1.01,0.05,5.43,-4.03,0.18,-31.00,-10.00,13.00
side,0.06,-1.01,0.04,-1.46,1.10,0.31,-32.00,-10.00,12.00
side,0.06,-1.01,0.04,1.28,0.49,-0.31,-32.00,-9.00,13.00
side,0.06,-1.01,0.04,-0.61,0.73,0.31,-34.00,-9.00,9.00
side,0.06,-1.01,0.04,-2.08,0.18,0.79,-32.00,-8.00,8.00
side,0.06,-1.01,0.03,3.54,-3.91,0.00,-31.00,-10.00,11.00
side,0.06,-1.01,0.04,2.87,-0.12,-0.85,-31.00,-8.00,10.00
side,0.06,-1.01,0.04,-1.77,-0.06,0.18,-30.00,-6.00,13.00
side,0.06,-1.01,0.03,-1.40,0.37,0.37,-32.00,-9.00,9.00
side,0.06,-1.01,0.04,-1.40,0.24,0.24,-34.00,-8.00,5.00
side,0.06,-1.01,0.04,-0.98,0.12,0.24,-31.00,-9.00,6.00
side,0.07,-1.01,0.04,1.40,-0.06,-0.18,-31.00,-11.00,14.00
side,0.06,-1.01,0.03,7.14,-0.85,-2.08,-31.00,-7.00,10.00
side,0.06,-1.01,0.05,-12.82,-10.80,-2.32,-30.00,-9.00,8.00
side,0.05,-1.01,0.05,4.94,0.18,-1.16,-32.00,-5.00,15.00
side,0.05,-1.01,0.04,1.95,1.77,0.00,-31.00,-7.00,10.00
side,0.05,-1.01,0.03,1.83,0.31,-0.49,-32.00,-7.00,10.00
side,0.05,-1.01,0.03,1.04,0.24,-0.31,-34.00,-8.00,9.00
side,0.05,-1.01,0.02,3.36,0.67,-0.67,-32.00,-7.00,8.00
side,0.05,-1.01,0.02,0.43,0.06,-0.24,-35.00,-8.00,12.00
side,0.05,-1.01,0.02,1.65,0.61,-0.37,-35.00,-9.00,9.00
side,0.05,-1.01,0.01,1.34,0.31,-0.24,-33.00,-8.00,9.00
side,0.05,-1.01,0.01,-0.43,0.00,-0.18,-32.00,-8.00,7.00
side,0.05,-1.01,0.01,-0.49,-0.12,-0.18,-31.00,-6.00,10.00
side,0.04,-1.01,0.01,2.69,0.37,-0.92,-34.00,-7.00,15.00
side,0.04,-1.01,0.02,-1.89,-0.55,-0.37,-31.00,-8.00,5.00
side,0.04,-1.01,-0.02,19.17,2.38,-5.49,-32.00,-7.00,4.00
side,0.02,-1.01,-0.07,14.77,2.44,-1.77,-35.00,-5.00,4.00
side,0.02,-1.02,-0.12,-101.44,-13.31,9.09,-38.00,-8.00,0.00
side,0.02,-1.01,0.01,-49.99,-8.06,3.48,-31.00,-5.00,13.00
side,0.04,-0.89,0.51,-79.16,-22.95,11.47,-23.00,-2.00,23.00
side,0.05,-0.91,0.36,68.05,16.17,-7.32,-23.00,-5.00,23.00
side,0.03,-1.01,0.06,27.16,8.30,-0.92,-31.00,-5.00,12.00
