Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
sitting,0.99,0.03,0.09,2.38,0.18,-1.65,14.00,-41.00,-3.00
sitting,0.99,0.02,0.11,1.77,1.71,0.12,15.00,-42.00,-10.00
sitting,0.99,0.02,0.12,1.95,-3.54,3.36,13.00,-41.00,-7.00
sitting,0.99,0.03,0.11,1.04,2.44,1.04,14.00,-38.00,-8.00
sitting,0.99,0.02,0.10,4.46,0.92,-1.83,12.00,-40.00,-8.00
sitting,0.99,0.01,0.11,1.83,-1.04,0.31,15.00,-39.00,-10.00
sitting,0.99,0.02,0.10,-3.23,-0.61,1.04,13.00,-42.00,-12.00
sitting,0.99,0.01,0.12,8.54,2.26,-0.37,14.00,-41.00,-7.00
sitting,0.98,0.07,0.15,7.81,3.11,2.38,12.00,-41.00,-4.00
sitting,1.02,-0.02,0.08,-2.87,1.40,0.49,14.00,-41.00,-13.00
sitting,1.02,0.02,0.05,-1.28,-8.06,13.00,11.00,-40.00,-10.00
sitting,1.01,-0.00,0.05,1.46,-2.01,-5.00,11.00,-42.00,-9.00
sitting,0.99,0.08,0.10,0.37,-3.48,-1.46,13.00,-43.00,-10.00
sitting,0.99,0.05,0.11,0.73,-1.10,-5.07,12.00,-42.00,-5.00
sitting,0.99,0.04,0.09,-0.12,0.18,0.43,12.00,-41.00,-5.00
sitting,0.99,0.05,0.09,-1.34,0.31,-3.11,15.00,-41.00,-7.00
sitting,0.99,0.05,0.08,-1.89,-1.34,-1.53,12.00,-42.00,-8.00
sitting,1.01,-0.12,0.06,-13.98,2.81,-17.03,11.00,-42.00,-11.00
sitting,1.00,0.03,0.06,2.20,-0.79,4.76,10.00,-43.00,-9.00
sitting,0.99,0.05,0.08,-1.59,-2.69,-1.71,13.00,-41.00,-9.00
sitting,1.00,0.04,0.07,-2.87,1.46,-0.43,13.00,-45.00,-7.00
sitting,1.00,0.03,0.07,1.22,0.85,-0.55,12.00,-42.00,-9.00
sitting,1.00,-0.02,0.06,-0.18,5.62,-0.55,13.00,-40.00,-8.00
sitting,0.97,0.08,0.05,-6.84,3.48,6.65,13.00,-44.00,-8.00
sitting,1.01,0.07,-0.03,-2.38,-17.58,4.09,16.00,-42.00,-14.00
sitting,0.98,0.13,0.15,-0.73,-9.34,1.95,16.00,-38.00,0.00
sitting,0.96,0.17,0.10,-3.05,3.36,-10.44,19.00,-42.00,-8.00
sitting,0.97,0.16,0.07,-0.31,5.07,2.01,15.00,-41.00,-10.00
sitting,0.97,0.17,0.08,-0.18,-8.73,-5.25,18.00,-42.00,-5.00
sitting,0.98,0.13,0.16,4.52,-3.78,5.86,15.00,-38.00,-3.00
sitting,0.99,0.14,0.21,-11.29,2.01,-4.33,19.00,-37.00,-2.00
sitting,0.99,0.13,0.18,-3.97,4.15,-6.35,16.00,-41.00,-5.00
sitting,0.98,0.05,0.18,9.03,6.16,4.46,16.00,-44.00,-2.00
sitting,0.99,0.07,0.18,11.78,-1.04,-1.10,16.00,-40.00,-7.00
sitting,0.97,0.07,0.21,0.98,-3.17,0.37,17.00,-35.00,1.00
sitting,0.98,0.08,0.18,-17.94,7.57,-5.92,18.00,-35.00,-1.00
sitting,0.98,0.08,0.07,4.94,6.16,13.61,15.00,-42.00,-6.00
sitting,0.99,0.08,0.07,-0.61,-6.16,-3.23,18.00,-42.00,-11.00
sitting,0.99,0.11,0.10,2.14,-1.10,3.42,16.00,-40.00,-9.00
sitting,0.99,0.09,0.11,0.85,1.89,-3.05,19.00,-42.00,-5.00
sitting,0.99,0.09,0.11,-0.43,-4.70,-1.04,17.00,-41.00,-7.00
sitting,1.01,0.04,0.03,4.46,10.99,-7.08,15.00,-41.00,-10.00
sitting,0.99,0.07,0.07,0.37,-4.64,0.12,16.00,-42.00,-9.00
sitting,0.99,0.07,0.08,-0.67,-0.24,0.00,16.00,-42.00,-12.00
sitting,0.99,0.07,0.08,0.43,1.83,-2.08,16.00,-42.00,-10.00
sitting,0.99,0.08,0.11,1.65,0.31,1.16,16.00,-42.00,-12.00
sitting,0.99,0.08,0.09,-0.55,-2.69,1.04,16.00,-40.00,-10.00
sitting,0.98,0.10,0.11,1.77,-5.19,0.43,17.00,-41.00,-8.00
sitting,0.99,0.08,0.12,1.16,3.97,-0.12,16.00,-41.00,-10.00
sitting,0.99,0.09,0.12,-3.30,-0.98,-6.16,16.00,-41.00,-5.00
sitting,1.00,0.04,0.09,-7.08,-5.13,-0.85,15.00,-38.00,-8.00
sitting,0.99,0.07,0.08,0.18,4.39,-4.94,19.00,-41.00,-8.00
sitting,0.99,0.07,0.10,-0.24,-1.46,1.40,14.00,-41.00,-12.00
sitting,0.99,0.08,0.12,1.34,1.46,0.06,16.00,-41.00,-6.00
sitting,0.99,0.07,0.09,2.75,0.55,0.31,15.00,-41.00,-7.00
sitting,0.99,0.09,0.09,0.37,0.85,0.31,17.00,-40.00,-6.00
sitting,0.99,0.09,0.10,-0.55,-0.49,0.49,15.00,-41.00,-8.00
sitting,0.99,0.09,0.10,0.43,0.49,0.31,17.00,-38.00,-14.00
sitting,0.99,0.09,0.10,0.00,0.24,0.00,18.00,-37.00,-8.00
sitting,0.99,0.09,0.10,-0.49,-0.73,0.49,16.00,-41.00,-6.00
sitting,0.99,0.10,0.10,-0.31,-0.06,-0.31,15.00,-42.00,-9.00
sitting,0.99,0.09,0.10,-0.92,-0.98,0.61,16.00,-40.00,-9.00
sitting,0.99,0.08,0.11,0.43,1.46,-1.28,16.00,-40.00,-8.00
sitting,0.99,0.10,0.10,0.31,0.49,0.12,15.00,-42.00,-6.00
sitting,0.99,0.09,0.11,1.10,0.92,-2.56,18.00,-40.00,-4.00
sitting,0.99,0.08,0.10,0.06,-0.18,-0.49,18.00,-40.00,-12.00
sitting,0.99,0.09,0.10,0.12,0.24,-0.37,16.00,-42.00,-9.00
sitting,0.99,0.09,0.10,0.79,0.55,-0.49,15.00,-42.00,-5.00
sitting,0.99,0.09,0.10,-0.49,-0.43,-0.37,18.00,-41.00,-5.00
sitting,0.99,0.09,0.10,1.34,1.28,-0.98,17.00,-42.00,-5.00
sitting,0.99,0.09,0.11,-0.67,-0.79,-0.18,15.00,-40.00,-9.00
sitting,0.99,0.10,0.10,0.37,1.04,0.49,16.00,-41.00,-8.00
sitting,0.99,0.10,0.10,-0.37,0.18,0.43,16.00,-40.00,-3.00
sitting,0.99,0.10,0.10,0.73,1.16,0.85,17.00,-42.00,-8.00
sitting,0.99,0.10,0.10,0.06,0.37,-0.43,15.00,-41.00,-8.00
sitting,0.99,0.10,0.10,0.43,-0.37,-0.61,17.00,-41.00,-11.00
sitting,0.99,0.10,0.10,0.06,0.00,-0.24,16.00,-44.00,-5.00
sitting,0.99,0.10,0.10,0.06,0.31,-0.18,15.00,-41.00,-12.00
sitting,0.99,0.09,0.10,-0.43,0.31,0.37,18.00,-43.00,-3.00
sitting,0.99,0.11,0.10,-0.37,-0.06,-0.12,18.00,-42.00,-10.00
sitting,1.01,0.11,0.05,-9.16,13.18,15.87,16.00,-43.00,-4.00
sitting,0.98,0.20,0.08,3.66,-4.82,9.03,20.00,-39.00,-6.00
sitting,0.97,0.15,0.11,2.99,1.34,-4.58,18.00,-36.00,-5.00
sitting,0.98,0.13,0.12,-6.23,-12.88,-4.39,22.00,-37.00,-6.00
sitting,0.99,0.13,0.06,5.37,5.07,3.23,18.00,-42.00,-5.00
sitting,0.98,0.12,0.12,-1.16,-4.70,0.12,16.00,-42.00,-7.00
sitting,0.98,0.13,0.12,-3.05,-1.83,1.95,17.00,-42.00,-7.00
sitting,0.97,0.17,0.14,1.65,-1.71,-5.13,20.00,-40.00,-2.00
sitting,0.98,0.17,0.13,0.37,1.40,-0.31,16.00,-39.00,-6.00
sitting,0.98,0.15,0.13,0.12,1.28,-1.40,19.00,-41.00,-5.00
sitting,0.97,0.16,0.15,-1.89,-1.59,1.04,19.00,-41.00,-7.00
sitting,0.97,0.15,0.14,0.00,0.67,0.55,19.00,-41.00,-3.00
sitting,0.97,0.17,0.15,0.24,-1.22,2.69,19.00,-39.00,-7.00
sitting,0.97,0.17,0.14,-0.67,0.12,2.01,19.00,-41.00,-9.00
sitting,0.97,0.18,0.14,-0.37,0.18,-0.12,21.00,-40.00,-6.00
sitting,0.97,0.18,0.15,-0.31,0.49,1.16,19.00,-39.00,-6.00
sitting,0.97,0.20,0.13,1.22,3.91,2.32,21.00,-41.00,-3.00
sitting,0.97,0.19,0.15,-0.55,-1.83,0.12,20.00,-41.00,-4.00
sitting,0.97,0.19,0.15,0.37,0.37,-0.85,21.00,-42.00,-4.00
sitting,0.96,0.19,0.16,-0.55,-0.61,0.31,20.00,-39.00,-8.00
sitting,0.96,0.20,0.16,0.24,-0.67,-0.24,19.00,-39.00,-7.00
sitting,0.96,0.20,0.16,-0.43,0.24,2.01,20.00,-39.00,-9.00
sitting,0.96,0.21,0.16,1.28,-0.18,-0.49,20.00,-43.00,-5.00
sitting,0.96,0.20,0.16,-0.12,0.73,0.92,19.00,-40.00,-3.00
sitting,0.96,0.21,0.15,-0.18,-0.37,-0.37,20.00,-37.00,-5.00
sitting,0.96,0.21,0.15,0.85,0.73,0.00,23.00,-41.00,-8.00
sitting,0.96,0.20,0.14,-0.67,-1.40,-0.67,21.00,-39.00,-7.00
sitting,0.96,0.20,0.15,0.43,-0.12,-0.31,21.00,-40.00,-9.00
sitting,0.96,0.20,0.15,0.18,-0.18,-0.06,20.00,-39.00,-5.00
sitting,0.96,0.20,0.15,-0.06,-0.31,0.18,19.00,-41.00,-7.00
sitting,0.96,0.21,0.15,0.12,0.31,0.12,19.00,-42.00,-4.00
sitting,0.96,0.21,0.15,-0.31,-1.40,-1.46,20.00,-40.00,-7.00
sitting,0.96,0.21,0.14,0.18,0.49,0.43,20.00,-41.00,-9.00
sitting,0.96,0.21,0.15,-0.24,0.92,0.06,20.00,-39.00,-4.00
sitting,0.96,0.21,0.15,0.12,0.00,-0.61,22.00,-40.00,-6.00
sitting,0.96,0.21,0.15,0.37,-0.06,-0.43,19.00,-39.00,-1.00
sitting,0.96,0.22,0.15,0.12,1.10,2.32,22.00,-41.00,-6.00
sitting,0.96,0.22,0.14,-0.61,-4.58,-0.37,20.00,-43.00,-5.00
sitting,0.96,0.21,0.16,-0.06,4.39,1.95,21.00,-40.00,-3.00
sitting,0.96,0.21,0.14,1.28,2.87,0.06,19.00,-39.00,-4.00
sitting,0.97,0.20,0.13,1.59,1.28,-3.72,20.00,-42.00,-5.00
sitting,0.97,0.20,0.15,0.31,0.92,0.06,18.00,-41.00,-4.00
sitting,0.97,0.18,0.14,0.31,2.62,-1.46,19.00,-42.00,-7.00
sitting,0.97,0.18,0.13,0.49,1.22,-1.40,16.00,-42.00,-1.00
sitting,0.97,0.19,0.13,-0.49,0.00,0.98,19.00,-42.00,-2.00
sitting,0.97,0.18,0.13,0.00,0.31,-0.61,19.00,-43.00,-5.00
sitting,0.97,0.21,0.13,-0.37,0.55,1.83,20.00,-43.00,-5.00
sitting,0.97,0.20,0.13,0.18,0.55,0.00,17.00,-38.00,-5.00
sitting,0.97,0.19,0.12,-0.49,1.34,0.92,20.00,-43.00,-4.00
sitting,0.97,0.18,0.12,-0.37,-3.30,-0.79,19.00,-40.00,-5.00
sitting,0.97,0.17,0.13,-1.16,0.18,0.61,20.00,-42.00,-6.00
sitting,0.97,0.20,0.13,0.43,0.85,0.55,19.00,-41.00,-12.00
sitting,0.97,0.19,0.14,-0.12,-0.67,-0.61,20.00,-41.00,-7.00
sitting,0.97,0.19,0.14,0.18,0.24,0.24,19.00,-41.00,-8.00
sitting,0.97,0.19,0.13,-0.12,0.31,-0.37,20.00,-40.00,-3.00
sitting,0.97,0.19,0.13,-0.43,-0.12,-0.12,19.00,-39.00,-7.00
sitting,0.97,0.20,0.14,0.18,0.37,-0.61,19.00,-41.00,-10.00
sitting,0.97,0.20,0.13,0.37,0.12,0.24,19.00,-43.00,-4.00
sitting,0.97,0.20,0.14,0.37,-0.67,-1.16,20.00,-42.00,-5.00
sitting,0.97,0.20,0.14,0.24,-0.43,-0.12,19.00,-41.00,-3.00
sitting,0.97,0.20,0.13,0.18,0.85,0.12,19.00,-39.00,0.00
sitting,0.97,0.20,0.14,0.18,-0.12,0.00,19.00,-41.00,-9.00
sitting,0.97,0.20,0.14,0.06,0.00,0.06,20.00,-41.00,-4.00
sitting,0.97,0.20,0.14,0.18,-0.55,-0.73,20.00,-41.00,-7.00
sitting,0.97,0.20,0.14,-0.55,-0.18,0.85,21.00,-42.00,-3.00
sitting,0.96,0.20,0.15,-0.06,-0.06,-0.18,20.00,-41.00,-6.00
sitting,0.97,0.20,0.14,-0.24,0.24,-0.18,18.00,-42.00,-5.00
sitting,0.97,0.20,0.15,0.31,0.12,-0.12,20.00,-40.00,-6.00
sitting,0.96,0.21,0.14,-0.06,0.24,0.67,21.00,-41.00,-8.00
sitting,0.97,0.19,0.14,0.37,0.61,0.06,19.00,-41.00,-3.00
sitting,0.97,0.20,0.14,0.12,0.85,0.24,18.00,-43.00,-6.00
sitting,0.97,0.20,0.14,0.00,0.37,0.12,20.00,-40.00,-9.00
sitting,0.97,0.20,0.14,0.06,0.00,0.24,22.00,-41.00,-3.00
