Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
sitting,-0.99,-0.06,0.05,-6.59,-6.23,-0.49,-5.00,54.00,-28.00
sitting,-1.00,-0.04,0.01,2.32,1.89,-1.28,-5.00,52.00,-23.00
sitting,-1.00,-0.04,0.03,-8.30,9.16,-0.98,-6.00,55.00,-25.00
sitting,-0.99,-0.06,0.05,-1.34,4.88,-1.59,-8.00,54.00,-23.00
sitting,-0.99,-0.05,0.06,1.16,-0.67,-1.34,-5.00,52.00,-28.00
sitting,-0.99,-0.05,0.05,-2.08,-0.67,-3.36,-4.00,56.00,-27.00
sitting,-0.99,-0.08,0.06,-1.71,6.41,1.83,-9.00,53.00,-24.00
sitting,-0.99,-0.08,0.06,-1.10,3.72,1.22,-7.00,53.00,-22.00
sitting,-1.00,-0.06,0.04,10.93,1.46,7.45,-7.00,54.00,-21.00
sitting,-0.99,-0.11,0.07,-2.26,10.07,8.73,-4.00,50.00,-23.00
sitting,-0.99,-0.12,0.06,-2.93,3.54,3.48,-6.00,53.00,-21.00
sitting,-0.99,-0.09,0.04,7.93,-2.75,-5.07,-6.00,53.00,-23.00
sitting,-0.99,-0.06,0.09,-1.77,3.85,-2.38,-6.00,51.00,-26.00
sitting,-0.97,-0.14,0.08,6.23,13.06,13.06,-6.00,55.00,-22.00
sitting,-0.99,-0.02,0.10,-6.35,31.43,16.72,-6.00,54.00,-25.00
sitting,-0.99,-0.06,0.08,16.42,16.05,23.62,-6.00,52.00,-23.00
sitting,-0.99,-0.06,0.09,-6.71,1.59,-1.28,-6.00,51.00,-24.00
sitting,-1.00,0.00,0.06,12.82,5.37,9.52,-7.00,53.00,-23.00
sitting,-0.98,-0.11,0.12,2.56,-2.50,6.53,-7.00,51.00,-18.00
sitting,-0.99,-0.11,0.10,3.05,-4.03,-1.10,-8.00,52.00,-21.00
sitting,-0.98,-0.11,0.08,-2.81,2.99,5.74,-6.00,50.00,-25.00
sitting,-0.98,-0.12,0.09,14.34,-7.81,-1.83,-8.00,50.00,-23.00
sitting,-0.98,-0.12,0.11,-8.85,4.09,2.08,-8.00,52.00,-24.00
sitting,-0.99,-0.11,0.08,-0.37,4.33,1.28,-8.00,52.00,-21.00
sitting,-0.99,-0.06,0.08,-8.48,-13.37,-13.12,-5.00,51.00,-29.00
sitting,-0.99,-0.08,0.06,-1.16,-2.62,4.33,-4.00,52.00,-18.00
sitting,-0.99,-0.11,0.01,-4.52,6.16,-2.44,-8.00,50.00,-25.00
sitting,-0.99,-0.10,0.02,1.89,0.06,0.24,-5.00,52.00,-22.00
sitting,-0.98,-0.13,0.06,1.28,-0.98,-0.18,-7.00,50.00,-26.00
sitting,-0.99,-0.11,0.03,2.75,1.65,2.69,-8.00,52.00,-28.00
sitting,-0.99,-0.11,0.02,0.37,-1.22,-2.81,-6.00,52.00,-27.00
sitting,-0.99,-0.11,0.02,0.31,0.55,-0.73,-5.00,52.00,-20.00
sitting,-0.99,-0.11,0.02,-0.92,-1.16,-0.06,-7.00,52.00,-24.00
sitting,-0.99,-0.11,0.03,0.12,-0.98,-0.98,-6.00,51.00,-26.00
sitting,-0.99,-0.11,0.02,1.59,1.83,2.38,-5.00,51.00,-24.00
sitting,-0.99,-0.11,0.02,0.06,0.31,-0.06,-6.00,50.00,-23.00
sitting,-0.99,-0.11,0.03,-0.24,0.12,1.22,-7.00,52.00,-27.00
sitting,-0.98,-0.12,0.03,1.95,-3.97,-3.11,-8.00,52.00,-29.00
sitting,-0.99,-0.12,0.03,-2.50,4.03,0.79,-8.00,51.00,-23.00
sitting,-0.99,-0.12,0.03,1.16,-0.85,-0.61,-7.00,52.00,-27.00
sitting,-0.99,-0.12,0.03,0.18,0.37,0.37,-8.00,50.00,-26.00
sitting,-0.98,-0.13,0.03,-0.12,0.55,0.49,-6.00,53.00,-26.00
sitting,-0.98,-0.13,0.03,0.55,0.67,-0.49,-6.00,50.00,-25.00
sitting,-0.98,-0.13,0.03,0.92,-0.43,0.06,-5.00,52.00,-21.00
sitting,-0.99,-0.12,0.03,-0.18,0.00,0.00,-7.00,51.00,-27.00
sitting,-0.99,-0.13,0.03,0.31,-0.12,-0.18,-8.00,51.00,-25.00
sitting,-0.98,-0.13,0.04,-0.24,1.10,0.55,-8.00,49.00,-22.00
sitting,-0.98,-0.13,0.04,-0.24,1.53,2.26,-6.00,51.00,-25.00
sitting,-0.98,-0.14,0.04,0.12,-0.06,-0.67,-9.00,52.00,-22.00
sitting,-0.98,-0.14,0.05,-0.06,0.31,-0.49,-5.00,50.00,-27.00
sitting,-0.98,-0.14,0.05,0.12,0.31,0.61,-8.00,52.00,-25.00
sitting,-0.98,-0.14,0.05,-0.61,0.85,-0.61,-7.00,51.00,-25.00
sitting,-0.98,-0.14,0.04,-0.06,0.67,-0.55,-7.00,50.00,-23.00
sitting,-0.98,-0.14,0.05,0.06,0.06,-0.43,-9.00,50.00,-23.00
sitting,-0.98,-0.14,0.05,-0.06,0.37,0.49,-6.00,49.00,-29.00
sitting,-0.98,-0.14,0.05,0.24,-0.61,-0.98,-9.00,51.00,-22.00
sitting,-0.98,-0.14,0.04,-0.55,-0.12,-0.98,-9.00,50.00,-23.00
sitting,-0.98,-0.14,0.05,-0.24,0.18,-0.73,-8.00,52.00,-25.00
sitting,-0.98,-0.14,0.04,0.00,0.55,0.37,-7.00,53.00,-26.00
sitting,-0.98,-0.15,0.05,0.24,-0.06,-0.43,-8.00,50.00,-24.00
sitting,-0.98,-0.14,0.05,0.43,-0.73,-0.37,-6.00,50.00,-24.00
sitting,-0.98,-0.14,0.05,-0.12,0.43,0.31,-8.00,49.00,-23.00
sitting,-0.98,-0.14,0.05,0.67,-0.12,0.49,-6.00,50.00,-24.00
sitting,-0.98,-0.14,0.05,0.00,0.37,-0.12,-6.00,49.00,-24.00
sitting,-0.98,-0.14,0.05,-0.98,1.40,1.04,-8.00,49.00,-23.00
sitting,-0.98,-0.15,0.05,-1.95,2.93,1.95,-8.00,50.00,-19.00
sitting,-0.98,-0.15,0.04,-3.05,-2.38,-2.99,-7.00,49.00,-18.00
sitting,-0.98,-0.16,0.05,1.16,0.12,0.85,-8.00,52.00,-20.00
sitting,-0.98,-0.16,0.05,0.12,-0.06,-0.18,-9.00,49.00,-23.00
sitting,-0.98,-0.16,0.05,1.46,-0.79,-4.64,-7.00,49.00,-23.00
sitting,-0.98,-0.16,0.06,1.10,-0.18,-0.49,-8.00,50.00,-21.00
sitting,-0.98,-0.16,0.06,0.37,-0.43,0.00,-8.00,51.00,-23.00
sitting,-0.98,-0.16,0.05,0.92,-0.85,-1.04,-8.00,52.00,-25.00
