Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
supine,0.01,-0.02,1.00,0.00,0.18,-0.31,33.00,-35.00,3.00
supine,0.01,-0.02,1.00,0.00,0.12,0.12,33.00,-37.00,3.00
supine,0.01,-0.01,1.00,1.65,-0.67,-2.62,37.00,-36.00,6.00
supine,0.01,-0.01,1.00,0.73,-0.31,-2.69,34.00,-40.00,5.00
supine,0.02,-0.01,1.00,0.12,0.31,0.31,34.00,-38.00,0.00
supine,0.01,-0.01,1.00,-0.12,0.06,-2.26,34.00,-36.00,6.00
supine,-0.00,-0.02,1.01,11.72,-5.55,-1.16,36.00,-35.00,2.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.24,34.00,-38.00,0.00
supine,0.01,-0.02,1.00,-0.06,0.18,-0.18,34.00,-36.00,2.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.24,34.00,-35.00,9.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.24,35.00,-37.00,0.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.18,34.00,-38.00,0.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.24,34.00,-37.00,9.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.18,35.00,-36.00,6.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,31.00,-37.00,6.00
supine,0.01,-0.02,1.00,0.06,0.12,-0.24,32.00,-37.00,4.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.24,33.00,-36.00,1.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.18,35.00,-39.00,1.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,30.00,-37.00,0.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.24,35.00,-36.00,3.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,33.00,-37.00,3.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.24,36.00,-37.00,1.00
supine,0.01,-0.02,1.00,0.06,0.12,-0.18,34.00,-38.00,3.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.24,34.00,-38.00,2.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.24,35.00,-36.00,2.00
supine,0.01,-0.02,1.00,0.06,0.12,-0.18,35.00,-36.00,3.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.24,34.00,-38.00,5.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.18,35.00,-37.00,4.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.18,34.00,-37.00,2.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.18,35.00,-37.00,1.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,32.00,-38.00,-3.00
supine,0.01,-0.02,1.00,0.00,0.06,-0.18,32.00,-36.00,1.00
supine,0.01,-0.02,1.00,0.00,0.06,-0.18,34.00,-37.00,4.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,35.00,-36.00,7.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.24,34.00,-38.00,8.00
supine,0.01,-0.02,1.00,0.00,0.12,-0.18,32.00,-38.00,1.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.18,33.00,-35.00,1.00
supine,0.01,-0.02,1.00,0.06,0.18,-0.24,33.00,-36.00,5.00
