Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
supine,0.02,-0.02,1.00,-0.12,0.00,-1.16,51.00,-7.00,18.00
supine,0.02,-0.02,1.00,-0.06,0.06,-0.12,48.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.31,50.00,-8.00,23.00
supine,0.02,-0.02,1.00,-0.06,0.12,-0.24,50.00,-7.00,17.00
supine,0.02,-0.02,1.00,0.06,0.12,-0.12,49.00,-7.00,20.00
supine,0.02,-0.02,1.00,0.00,0.06,-0.12,49.00,-8.00,23.00
supine,0.02,-0.02,1.00,-0.06,0.24,-0.24,49.00,-9.00,22.00
supine,0.02,-0.02,1.00,0.12,0.18,0.43,50.00,-7.00,18.00
supine,0.02,-0.02,1.00,-0.18,-0.12,-0.24,50.00,-7.00,20.00
supine,0.02,-0.02,1.00,-0.06,-0.12,-1.10,50.00,-8.00,21.00
supine,0.02,-0.02,1.00,0.00,0.06,-0.12,49.00,-6.00,21.00
supine,0.02,-0.02,1.00,0.00,0.24,-0.31,52.00,-6.00,20.00
supine,0.02,-0.02,1.00,0.18,0.85,0.55,49.00,-9.00,24.00
supine,0.02,-0.02,1.00,-0.06,0.00,0.18,51.00,-7.00,20.00
supine,0.02,-0.02,1.00,-0.06,0.12,-0.24,52.00,-6.00,19.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.18,52.00,-6.00,23.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.12,51.00,-8.00,22.00
supine,0.02,-0.02,1.00,-0.31,-0.37,-1.40,49.00,-7.00,23.00
supine,0.02,-0.02,1.00,0.00,0.06,0.00,51.00,-8.00,24.00
supine,0.02,-0.02,1.00,0.00,0.06,0.00,49.00,-8.00,22.00
supine,0.02,-0.02,1.00,-0.06,0.00,-0.18,50.00,-9.00,17.00
supine,0.02,-0.02,1.00,-0.06,0.12,-0.31,50.00,-7.00,23.00
supine,0.02,-0.02,1.00,0.06,0.24,-0.49,48.00,-7.00,23.00
supine,0.02,-0.02,1.00,0.00,0.18,0.00,52.00,-7.00,25.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.12,47.00,-8.00,20.00
supine,0.02,-0.02,1.00,0.12,1.46,0.12,51.00,-7.00,19.00
supine,0.02,-0.02,1.00,0.12,0.49,0.37,52.00,-8.00,22.00
supine,0.02,-0.02,1.00,-0.06,-0.31,0.24,50.00,-7.00,21.00
supine,0.02,-0.02,1.00,0.00,0.06,-0.06,50.00,-7.00,19.00
supine,0.02,-0.02,1.00,-0.12,-0.79,0.79,50.00,-7.00,17.00
supine,0.02,-0.02,1.00,-0.06,0.12,-2.75,47.00,-6.00,21.00
supine,0.02,-0.03,1.00,0.06,0.12,-0.37,49.00,-7.00,23.00
supine,0.02,-0.02,1.00,0.06,0.61,0.73,50.00,-9.00,19.00
supine,0.02,-0.02,1.00,0.00,0.06,-0.24,49.00,-6.00,21.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.12,50.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.06,0.06,0.12,49.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.00,0.31,0.24,47.00,-8.00,20.00
supine,0.02,-0.02,1.00,0.12,0.85,0.73,49.00,-7.00,22.00
supine,0.02,-0.02,1.00,0.06,0.12,-0.31,48.00,-8.00,21.00
supine,0.02,-0.02,1.00,0.06,0.31,-0.24,51.00,-8.00,21.00
supine,0.02,-0.02,1.00,0.00,0.31,-0.31,48.00,-8.00,18.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.06,48.00,-8.00,21.00
supine,0.02,-0.02,1.00,0.00,0.37,-0.12,51.00,-8.00,22.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.24,51.00,-5.00,17.00
supine,0.02,-0.02,1.00,-0.12,-0.06,-0.06,47.00,-5.00,19.00
supine,0.02,-0.02,1.00,0.06,0.24,-0.31,48.00,-6.00,21.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.06,49.00,-8.00,22.00
supine,0.02,-0.02,1.00,0.00,0.18,-0.06,48.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.06,0.37,-0.55,50.00,-7.00,18.00
supine,0.02,-0.02,1.00,-0.06,0.24,-0.06,50.00,-8.00,19.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.12,48.00,-6.00,20.00
supine,0.02,-0.02,1.00,0.00,0.12,-0.06,51.00,-6.00,22.00
supine,0.02,-0.02,1.00,0.06,0.37,0.43,50.00,-8.00,20.00
supine,0.02,-0.02,1.00,0.00,0.18,0.43,50.00,-8.00,15.00
supine,0.02,-0.02,1.00,-0.06,-0.06,0.31,50.00,-8.00,20.00
supine,0.02,-0.02,1.00,0.06,0.12,-0.12,49.00,-8.00,23.00
supine,0.02,-0.02,1.00,0.00,0.12,0.24,49.00,-8.00,17.00
supine,0.02,-0.02,1.00,-0.06,0.24,-0.43,47.00,-7.00,22.00
supine,0.02,-0.02,1.00,0.00,0.06,0.43,49.00,-8.00,17.00
supine,0.00,-0.04,1.00,-0.55,0.24,18.62,50.00,-8.00,15.00
supine,0.02,-0.01,1.00,1.59,0.12,33.87,52.00,-5.00,19.00
supine,0.01,-0.03,1.00,-0.37,0.79,27.40,52.00,0.00,22.00
supine,0.02,-0.02,1.01,0.73,4.39,31.56,52.00,5.00,21.00
supine,0.02,-0.04,1.00,1.34,3.78,23.25,49.00,9.00,23.00
supine,0.03,-0.03,1.01,0.18,4.52,19.10,48.00,10.00,21.00
supine,0.06,-0.06,1.00,1.95,7.45,64.09,46.00,16.00,19.00
supine,0.04,-0.02,1.00,0.55,-6.04,13.98,45.00,18.00,25.00
supine,0.04,-0.02,1.00,0.92,1.22,11.54,44.00,24.00,22.00
supine,0.03,-0.02,1.00,-0.18,-4.15,-3.11,42.00,26.00,21.00
supine,0.01,0.01,1.00,0.06,-0.24,-64.88,43.00,23.00,24.00
supine,0.02,-0.01,1.00,-0.43,0.31,-13.49,52.00,11.00,21.00
supine,0.02,0.02,1.00,1.89,-0.37,-51.33,50.00,10.00,19.00
supine,0.02,-0.10,1.00,-4.46,1.71,-28.75,45.00,0.00,15.00
supine,0.06,0.05,1.03,-70.74,16.17,-0.12,52.00,-2.00,12.00
supine,0.02,0.17,0.93,31.86,27.28,23.19,54.00,-4.00,14.00
supine,0.05,0.10,1.08,4.15,-20.87,-33.69,49.00,-3.00,20.00
supine,-0.08,-0.09,1.06,-30.15,35.10,-57.62,49.00,-13.00,14.00
supine,-0.04,-0.05,1.00,-0.43,-0.06,-10.31,46.00,-17.00,21.00
supine,0.02,-0.01,1.00,-0.12,-0.18,-28.44,46.00,-20.00,20.00
supine,-0.02,-0.08,1.00,0.79,0.67,-1.71,42.00,-19.00,16.00
supine,0.02,-0.02,1.00,-0.06,0.12,0.31,44.00,-17.00,20.00
supine,0.02,-0.02,1.00,0.00,0.06,-0.37,42.00,-19.00,17.00
supine,0.01,-0.02,1.00,1.16,-0.43,-0.31,42.00,-18.00,19.00
supine,0.01,-0.03,1.00,-0.73,0.49,-0.12,43.00,-19.00,14.00
supine,0.01,-0.02,1.00,0.06,0.12,-0.24,45.00,-20.00,21.00
supine,0.01,-0.03,1.00,0.92,-0.31,0.00,43.00,-16.00,17.00
supine,0.01,-0.04,1.00,-0.37,-0.61,-9.52,43.00,-20.00,21.00
supine,0.02,-0.06,1.01,-7.69,4.46,-12.02,42.00,-19.00,19.00
supine,0.01,-0.01,1.00,0.06,0.18,5.25,43.00,-20.00,19.00
supine,0.01,-0.02,1.00,0.00,0.18,-0.18,41.00,-21.00,21.00
supine,0.02,-0.04,1.00,6.53,-2.75,38.21,43.00,-19.00,19.00
supine,-0.00,-0.05,1.01,0.31,0.85,33.94,46.00,-15.00,23.00
supine,0.01,-0.04,1.01,-0.49,-0.18,11.17,46.00,-11.00,18.00
supine,-0.00,-0.03,1.00,0.12,-3.78,33.81,52.00,-5.00,21.00
supine,-0.01,-0.04,1.00,4.64,0.06,14.28,52.00,-3.00,25.00
supine,-0.00,-0.04,1.00,-2.20,0.85,5.74,51.00,-1.00,23.00
supine,0.01,-0.01,1.00,2.56,0.98,-24.60,53.00,-4.00,18.00
