Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
unknown,0.76,0.43,0.51,3.97,-2.87,-10.13,10.00,-21.00,9.00
unknown,0.76,0.40,0.52,1.04,-4.52,0.67,7.00,-23.00,5.00
unknown,0.71,0.39,0.57,9.52,-8.85,5.98,9.00,-20.00,4.00
unknown,0.70,0.38,0.59,0.85,0.00,-3.17,5.00,-21.00,6.00
unknown,0.71,0.38,0.57,2.20,-3.48,0.55,6.00,-21.00,5.00
unknown,0.70,0.38,0.61,0.37,-0.79,0.00,7.00,-20.00,4.00
unknown,0.70,0.39,0.61,-1.28,1.65,-0.06,6.00,-20.00,5.00
unknown,0.69,0.39,0.59,-0.31,-2.26,0.43,7.00,-16.00,3.00
unknown,0.69,0.40,0.60,0.18,-0.31,0.24,7.00,-19.00,5.00
unknown,0.69,0.40,0.60,0.06,-0.79,-0.06,5.00,-19.00,6.00
unknown,0.69,0.40,0.60,0.24,0.49,1.16,6.00,-21.00,6.00
unknown,0.69,0.39,0.61,0.79,-2.62,4.15,4.00,-17.00,5.00
unknown,0.67,0.42,0.61,-2.14,-1.40,3.91,6.00,-18.00,6.00
unknown,0.67,0.41,0.61,1.22,1.28,-0.61,6.00,-18.00,6.00
unknown,0.68,0.40,0.61,3.11,-1.77,-1.34,6.00,-19.00,6.00
unknown,0.67,0.36,0.66,7.93,-9.34,1.89,4.00,-14.00,5.00
unknown,0.68,0.39,0.59,-9.40,10.86,0.12,6.00,-22.00,6.00
unknown,0.69,0.39,0.62,3.05,-4.58,0.00,5.00,-20.00,6.00
unknown,0.66,0.35,0.67,3.54,-1.89,2.81,2.00,-19.00,7.00
unknown,0.53,0.45,0.77,39.43,-7.51,35.52,-1.00,-16.00,3.00
unknown,0.57,0.32,0.75,-8.42,2.20,-2.08,-2.00,-19.00,0.00
unknown,0.58,0.31,0.75,7.45,5.19,6.65,-1.00,-20.00,-2.00
unknown,0.66,0.36,0.66,-17.46,27.16,-11.72,-3.00,-22.00,1.00
unknown,0.63,0.59,0.58,-19.84,30.70,-8.30,9.00,-21.00,1.00
unknown,0.72,0.42,0.46,-12.94,-2.56,-7.63,15.00,-17.00,5.00
unknown,0.74,0.51,0.48,2.75,7.14,-1.89,21.00,-15.00,8.00
unknown,0.78,0.47,0.44,8.18,31.37,-10.13,17.00,-17.00,6.00
unknown,0.80,0.28,0.32,26.67,-1.53,7.08,14.00,-20.00,4.00
unknown,0.73,0.38,0.55,25.57,11.35,8.85,12.00,-19.00,9.00
unknown,0.73,0.25,0.51,51.82,17.27,3.48,7.00,-22.00,4.00
unknown,0.80,0.22,0.47,15.01,13.24,12.27,-1.00,-25.00,2.00
unknown,0.78,0.28,0.56,6.47,-5.43,6.65,-2.00,-29.00,3.00
unknown,0.77,0.28,0.53,-1.95,-3.85,0.61,0.00,-28.00,0.00
unknown,0.77,0.32,0.53,-5.92,1.04,-1.95,3.00,-29.00,-1.00
unknown,0.77,0.31,0.46,-9.16,-4.09,-3.17,4.00,-28.00,-1.00
unknown,0.84,0.41,0.60,-5.98,10.74,-9.95,2.00,-29.00,-2.00
